date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:12	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1697033635-ssl-df	https://seeking-arrangement-profile-8ab7d9f.netlify.app/robots.txt		(from )
17:41:13	64082/64082	---MCZ	200	added ('OK')	text/html	etag:%2291a6f6844e43510ee37e7d43018135c0-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/index.html	(from )
17:41:14	59822/59822	---MCZ	200	added ('OK')	application/javascript	etag:%225f3ca6cbdabc9d0babe04b6a2798dc47-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/clarity.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/clarity.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:15	173/173	---M--	200	added ('OK')	application/javascript	etag:%228c5e6d057d55d2fc908844fc12a8d766-ssl%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/3542a5eb-d263-415e-864d-0b151b94d5de.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/3542a5eb-d263-415e-864d-0b151b94d5de.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:16	2969/2969	---M-Z	200	added ('OK')	application/javascript	etag:%22e79932f71e607b0c7da1f91c33600b98-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/d8373123c62828e9a13295d11eb7e66f.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/d8373123c62828e9a13295d11eb7e66f.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:17	2434/2434	---MCZ	200	added ('OK')	application/javascript	etag:%225861d136576df715284a6dae0f039f1c-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/d3d14424fac71699bdbff068d9b1184b.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/d3d14424fac71699bdbff068d9b1184b.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:18	17320/17320	---MCZ	200	added ('OK')	application/javascript	etag:%225a64dbb5ae5086a316dbd4c818b0d53b-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/eid.es5.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/eid.es5.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:19	3545/3545	---MCZ	200	added ('OK')	application/javascript	etag:%226335b26b7faf21780bdfcd08e639e6e1-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/cds-pips.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/cds-pips.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:21	398538/398538	---MCZ	200	added ('OK')	application/javascript	etag:%22b34cb16a4fdfabdd4295764966276aaa-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/main.MWQ0NWRkZTlhMQ.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/main.MWQ0NWRkZTlhMQ.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:21	451/451	---M--	200	added ('OK')	application/x-php	etag:%223219492de7b7cbb8208a12669033658d-ssl%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/serverComponent.php	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/serverComponent.php	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:22	5308/5308	---M-Z	200	added ('OK')	application/javascript	etag:%22ae288ed2be5b9c7d51462b39932b0c3f-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/up_loader.1.1.0.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/up_loader.1.1.0.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:23	883/883	---M--	200	added ('OK')	text/plain	etag:%2201a0d284abf7c1ce36e02dc91786912c-ssl%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/20113431	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/20113431	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:24	5076/5076	---MCZ	200	added ('OK')	application/javascript	etag:%221d7050ac36632cf818082eb93ae9e928-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/events.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/events.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:26	248898/248898	---MCZ	200	added ('OK')	application/javascript	etag:%229b3a86b5f792599e6d4aca177a51f3bf-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/fs.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/fs.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:26	52995/52995	---MCZ	200	added ('OK')	application/javascript	etag:%2237719be27647957386ec4d0debcfd27a-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/mixpanel-2-latest.min.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/mixpanel-2-latest.min.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:27	52916/52916	---MCZ	200	added ('OK')	application/javascript	etag:%2259bc9cde574609c906be3a86dee827e4-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/analytics.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/analytics.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:28	314112/314112	---MCZ	200	added ('OK')	text/plain	etag:%22bf31ca6515bdfb98bf44455fdb57479f-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:29	6230/6230	---MCZ	200	added ('OK')	application/javascript	etag:%2255ab1ecacfc79554c95c9f05c48f89c8-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/sdk.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/sdk.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:31	66005/66005	---MCZ	200	added ('OK')	application/javascript	etag:%22a03674a8a13da5add2e5cb5e0ec438d5-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/tfa.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/tfa.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
17:41:31	57596/57596	---MCZ	200	added ('OK')	application/javascript	etag:%220521e0b11786e54c423e097a5a7fa1d2-ssl-df%22	https://seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/uwt.js	C:/My%20Web%20Sites/seeking%20n/seeking-arrangement-profile-8ab7d9f.netlify.app/Member%20Login%20-%20Seeking_files/uwt.js	(from https://seeking-arrangement-profile-8ab7d9f.netlify.app/)
